Date,Price,Open,High,Low,Volume,Change
"Apr 17, 2020",2.34,2.322,2.357,2.322,-,0.73
"Apr 16, 2020",2.323,2.293,2.352,2.287,-,1.31
"Apr 15, 2020",2.293,2.325,2.329,2.277,-,-1.38
"Apr 14, 2020",2.325,2.313,2.335,2.309,-,0.52
"Apr 13, 2020",2.313,2.282,2.352,2.281,-,1.31
"Apr 12, 2020",2.283,2.282,2.3,2.263,-,0.57
"Apr 10, 2020",2.27,2.27,2.27,2.27,-,-0.04
"Apr 09, 2020",2.271,2.276,2.288,2.247,-,-0.22
"Apr 08, 2020",2.276,2.255,2.287,2.243,-,0.98
"Apr 07, 2020",2.254,2.236,2.317,2.234,-,0.71
"Apr 06, 2020",2.238,2.192,2.254,2.187,-,2.15
"Apr 05, 2020",2.191,2.18,2.196,2.18,-,0.55
"Apr 03, 2020",2.179,2.214,2.232,2.172,-,-1.58
"Apr 02, 2020",2.214,2.172,2.235,2.151,-,1.93
"Apr 01, 2020",2.172,2.213,2.222,2.155,-,-1.85
"Mar 31, 2020",2.213,2.172,2.247,2.172,-,1.89
"Mar 30, 2020",2.172,2.158,2.175,2.143,-,0.65
"Mar 29, 2020",2.158,2.175,2.175,2.135,-,-1.78
"Mar 27, 2020",2.197,2.19,2.19,2.19,0.29K,-0.5
"Mar 26, 2020",2.208,2.19,2.218,2.19,0.48K,-1.16
"Mar 25, 2020",2.234,2.208,2.211,2.174,0.72K,1.66
"Mar 24, 2020",2.197,2.151,2.231,2.151,0.45K,3.68
"Mar 23, 2020",2.119,2.114,2.125,2.105,0.38K,-3.24
"Mar 20, 2020",2.191,2.162,2.241,2.12,0.41K,-0.43
"Mar 19, 2020",2.2,2.161,2.2,2.059,0.47K,1.83
"Mar 18, 2020",2.161,2.316,2.322,2.122,0.48K,-6.69
"Mar 17, 2020",2.316,2.417,2.417,2.309,0.58K,-3.46
"Mar 16, 2020",2.398,2.455,2.46,2.364,0.52K,-3.05
"Mar 13, 2020",2.474,2.455,2.534,2.43,0.80K,-0.28
"Mar 12, 2020",2.481,2.491,2.491,2.439,0.99K,-1.23
"Mar 11, 2020",2.512,2.55,2.55,2.488,0.65K,-0.87
"Mar 10, 2020",2.534,2.499,2.563,2.499,0.69K,0.4
"Mar 09, 2020",2.524,2.542,2.542,2.48,0.82K,-1.9
"Mar 06, 2020",2.573,2.579,2.579,2.546,0.64K,-0.37
"Mar 05, 2020",2.582,2.588,2.593,2.573,0.49K,-0.4
"Mar 04, 2020",2.593,2.585,2.602,2.577,0.49K,0.52
"Mar 03, 2020",2.579,2.62,2.63,2.562,1.15K,-0.83
"Mar 02, 2020",2.601,2.536,2.618,2.514,1.30K,2.16
