Date,Price,Open,High,Low,Volume,Change
"Apr 17, 2020",1.753,1.689,1.806,1.661,-,3.97
"Apr 16, 2020",1.686,1.591,1.719,1.555,235.59K,5.51
"Apr 15, 2020",1.598,1.639,1.666,1.586,-,-3.15
"Apr 14, 2020",1.65,1.725,1.737,1.633,-,-4.29
"Apr 13, 2020",1.724,1.752,1.813,1.698,-,-0.52
"Apr 09, 2020",1.733,1.791,1.825,1.721,202.18K,-2.8
"Apr 08, 2020",1.783,1.905,1.918,1.771,-,-3.73
"Apr 07, 2020",1.852,1.759,1.912,1.747,-,6.99
"Apr 06, 2020",1.731,1.65,1.755,1.63,-,6.79
"Apr 03, 2020",1.621,1.551,1.659,1.53,-,4.45
"Apr 02, 2020",1.552,1.591,1.624,1.521,-,-2.21
"Apr 01, 2020",1.587,1.643,1.679,1.58,-,-3.23
"Mar 31, 2020",1.64,1.702,1.731,1.636,-,-2.96
"Mar 30, 2020",1.69,1.63,1.708,1.613,-,3.43
"Mar 27, 2020",1.634,1.64,1.65,1.597,-,-0.18
"Mar 26, 2020",1.637,1.657,1.68,1.612,-,-1.33
"Mar 25, 2020",1.659,1.673,1.716,1.638,-,0.36
"Mar 24, 2020",1.653,1.59,1.687,1.583,-,3.18
"Mar 23, 2020",1.602,1.533,1.628,1.519,-,-0.12
"Mar 20, 2020",1.604,1.647,1.7,1.574,-,-3.02
"Mar 19, 2020",1.654,1.632,1.683,1.602,-,3.12
"Mar 18, 2020",1.604,1.721,1.728,1.555,204.44K,-7.23
"Mar 17, 2020",1.729,1.797,1.82,1.711,163.79K,-4.74
"Mar 16, 2020",1.815,1.854,1.854,1.778,167.17K,-2.89
"Mar 13, 2020",1.869,1.81,1.951,1.795,222.42K,1.52
"Mar 12, 2020",1.841,1.883,1.883,1.75,280.15K,-1.97
"Mar 11, 2020",1.878,1.938,1.998,1.86,318.55K,-3.0
"Mar 10, 2020",1.936,1.835,1.955,1.794,350.20K,8.89
"Mar 09, 2020",1.778,1.678,1.83,1.61,291.35K,4.1
"Mar 06, 2020",1.708,1.767,1.767,1.705,213.51K,-3.61
"Mar 05, 2020",1.772,1.829,1.847,1.756,152.64K,-3.01
"Mar 04, 2020",1.827,1.805,1.845,1.785,138.21K,1.5
"Mar 03, 2020",1.8,1.763,1.839,1.756,207.50K,2.51
"Mar 02, 2020",1.756,1.695,1.765,1.68,197.99K,4.28
"Feb 28, 2020",1.684,1.748,1.75,1.642,218.42K,-3.88
"Feb 27, 2020",1.752,1.828,1.831,1.719,276.10K,-3.79
"Feb 26, 2020",1.821,1.848,1.88,1.81,7.70K,-1.41
"Feb 25, 2020",1.847,1.836,1.862,1.819,70.53K,1.09
