Date,Price,Open,High,Low,Volume,Change
"Apr 17, 2020",791.25,805.45,811.2,784.6,-,-1.77
"Apr 16, 2020",805.5,801.3,820.3,780.3,-,0.51
"Apr 15, 2020",801.45,818.75,831.65,796.4,-,-2.17
"Apr 14, 2020",819.2,753.85,837.9,753.6,-,8.6
"Apr 13, 2020",754.3,748.55,756.0,742.25,-,0.71
"Apr 12, 2020",749.0,751.65,756.3,744.6,-,-0.37
"Apr 10, 2020",751.8,751.8,751.8,751.8,-,0.04
"Apr 09, 2020",751.5,736.3,757.1,731.9,-,2.04
"Apr 08, 2020",736.45,738.2,759.6,725.9,-,-0.3
"Apr 07, 2020",738.7,746.65,749.8,732.25,-,-1.04
"Apr 06, 2020",746.45,725.15,750.4,723.65,-,3.0
"Apr 05, 2020",724.7,718.75,726.25,718.75,-,0.01
"Apr 03, 2020",724.6,729.15,730.5,711.2,-,-0.62
"Apr 02, 2020",729.15,719.6,734.5,713.25,-,1.4
"Apr 01, 2020",719.1,718.1,727.5,701.6,-,0.06
"Mar 31, 2020",718.65,723.9,737.15,716.3,-,-0.7
"Mar 30, 2020",723.7,741.9,744.0,710.9,-,-2.45
"Mar 29, 2020",741.9,740.1,745.1,733.0,-,0.47
"Mar 27, 2020",738.4,741.2,755.5,727.2,-,-0.37
"Mar 26, 2020",741.15,734.0,744.0,705.0,-,1.03
"Mar 25, 2020",733.6,734.6,747.8,708.5,-,-0.14
"Mar 24, 2020",734.6,665.2,734.75,655.5,-,10.44
"Mar 23, 2020",665.15,606.0,666.0,606.0,-,9.76
"Mar 22, 2020",606.0,612.0,615.4,594.7,-,-0.88
"Mar 20, 2020",611.4,596.05,639.8,595.15,-,2.72
"Mar 19, 2020",595.2,642.15,644.9,585.3,-,-7.3
"Mar 18, 2020",642.1,669.0,680.8,603.5,-,-4.02
"Mar 17, 2020",669.0,666.8,717.9,600.0,-,0.43
"Mar 16, 2020",666.15,757.85,769.85,562.0,-,-12.11
"Mar 15, 2020",757.9,763.25,774.9,743.5,-,-0.71
"Mar 13, 2020",763.3,763.1,818.05,738.0,-,0.09
"Mar 12, 2020",762.65,863.25,868.5,750.45,-,-11.65
"Mar 11, 2020",863.2,873.5,886.6,861.9,-,-1.18
"Mar 10, 2020",873.5,872.4,892.05,866.8,-,0.15
"Mar 09, 2020",872.2,899.7,900.7,860.9,-,-3.06
"Mar 08, 2020",899.7,904.1,915.85,896.0,-,-0.51
"Mar 06, 2020",904.35,872.85,905.8,855.15,-,3.6
"Mar 05, 2020",872.95,875.7,875.9,856.65,-,-0.31
"Mar 04, 2020",875.7,877.95,889.35,866.7,-,-0.29
"Mar 03, 2020",878.25,868.7,882.85,859.5,-,1.09
"Mar 02, 2020",868.8,852.85,885.2,851.25,-,1.86
"Mar 01, 2020",852.95,866.3,866.3,851.2,-,-1.55
"Feb 28, 2020",866.35,903.45,903.9,847.85,-,-4.13
"Feb 27, 2020",903.65,911.45,924.8,898.6,-,-0.85
"Feb 26, 2020",911.4,935.65,937.7,908.9,-,-2.6
"Feb 25, 2020",935.7,965.9,972.1,922.75,-,-3.15
"Feb 24, 2020",966.15,976.9,979.9,961.4,-,-1.16
"Feb 23, 2020",977.45,976.75,981.7,975.65,-,0.07
"Feb 21, 2020",976.75,985.65,990.8,972.9,-,-0.94
"Feb 20, 2020",986.05,1010.25,1010.65,974.55,-,-2.45
"Feb 19, 2020",1010.85,995.75,1020.9,995.2,-,1.51
"Feb 18, 2020",995.8,973.05,996.3,972.0,-,2.33
"Feb 17, 2020",973.1,969.1,975.35,967.5,-,0.39
"Feb 16, 2020",969.35,967.3,969.5,966.8,-,0.2
"Feb 14, 2020",967.4,971.9,979.1,965.75,-,-0.47
"Feb 13, 2020",972.0,963.75,977.55,963.45,-,0.84
"Feb 12, 2020",963.95,971.8,975.05,957.25,-,-0.8
"Feb 11, 2020",971.75,965.35,977.0,962.85,-,0.65
"Feb 10, 2020",965.45,970.05,978.0,956.4,-,-0.47
"Feb 09, 2020",970.0,970.15,972.6,969.15,-,-0.02
"Feb 07, 2020",970.15,968.8,978.7,961.15,-,0.13
"Feb 06, 2020",968.9,984.2,991.65,963.3,-,-1.55
"Feb 05, 2020",984.2,966.85,989.3,963.5,-,1.82
"Feb 04, 2020",966.65,971.1,985.2,960.95,-,-0.48
"Feb 03, 2020",971.3,967.45,976.1,954.3,-,0.32
"Feb 02, 2020",968.25,962.65,969.5,961.3,-,0.58
"Jan 31, 2020",962.65,981.3,986.9,959.55,-,-1.96
"Jan 30, 2020",981.85,982.5,985.0,965.55,-,-0.07
"Jan 29, 2020",982.5,990.8,1000.25,974.25,-,-0.83
"Jan 28, 2020",990.7,991.1,996.8,983.65,-,-0.06
"Jan 27, 2020",991.3,1003.8,1005.8,987.4,-,-1.27
"Jan 26, 2020",1004.05,1010.55,1015.05,1003.1,-,-0.61
"Jan 24, 2020",1010.25,1009.0,1021.9,1004.25,-,0.12
"Jan 23, 2020",1009.05,1022.65,1025.35,1001.15,-,-1.33
"Jan 22, 2020",1022.6,1000.9,1023.7,995.85,-,2.18
"Jan 21, 2020",1000.8,1026.6,1030.45,993.85,-,-2.48
"Jan 20, 2020",1026.3,1031.4,1034.75,1013.6,-,-0.41
"Jan 19, 2020",1030.5,1028.05,1031.5,1024.7,-,0.34
"Jan 17, 2020",1027.05,1015.65,1033.4,1008.6,-,1.16
"Jan 16, 2020",1015.3,1032.25,1046.55,999.6,-,-1.57
"Jan 15, 2020",1031.5,989.9,1031.5,988.9,-,4.27
"Jan 14, 2020",989.25,981.2,990.55,970.25,-,0.88
"Jan 13, 2020",980.6,983.1,984.6,969.15,-,-0.12
"Jan 12, 2020",981.75,984.25,984.85,980.6,-,-0.26
"Jan 10, 2020",984.3,974.05,988.5,967.35,-,1.1
"Jan 09, 2020",973.6,960.9,976.4,952.85,-,1.31
"Jan 08, 2020",961.0,977.75,982.05,957.4,-,-1.71
