Date,Price,Open,High,Low,Change
"Apr 17, 2020",773.9,777.82,783.86,768.44,-0.5
"Apr 16, 2020",777.82,773.9,777.83,768.49,0.51
"Apr 15, 2020",773.9,781.09,781.59,768.61,-0.92
"Apr 14, 2020",781.09,776.03,782.84,774.51,0.65
"Apr 13, 2020",776.03,769.22,780.72,766.6,0.9
"Apr 10, 2020",769.09,767.95,770.68,765.4,0.17
"Apr 09, 2020",767.76,757.54,769.45,754.4,1.31
"Apr 08, 2020",757.85,749.74,759.02,746.46,1.07
"Apr 07, 2020",749.86,745.44,755.17,743.62,0.59
"Apr 06, 2020",745.44,743.38,750.01,740.13,0.54
"Apr 03, 2020",741.47,744.08,749.62,738.32,-0.35
"Apr 02, 2020",744.08,750.8,756.37,740.65,-0.9
"Apr 01, 2020",750.8,747.85,760.77,744.01,0.39
"Mar 31, 2020",747.85,756.12,756.88,741.52,-1.03
"Mar 30, 2020",755.64,746.13,756.67,741.28,1.05
"Mar 27, 2020",747.77,736.04,753.71,732.15,1.61
"Mar 26, 2020",735.92,734.81,740.61,720.05,0.16
"Mar 25, 2020",734.74,735.34,749.7,731.1,-0.08
"Mar 24, 2020",735.34,742.35,749.29,727.93,-0.88
"Mar 23, 2020",741.91,727.74,744.38,715.76,1.95
"Mar 20, 2020",727.74,722.55,743.62,712.51,0.72
"Mar 19, 2020",722.55,725.25,746.95,704.88,-0.67
"Mar 18, 2020",727.42,742.15,750.99,721.32,-2.21
"Mar 17, 2020",743.86,754.12,762.91,739.46,-1.38
"Mar 16, 2020",754.27,743.31,763.9,739.84,0.65
"Mar 13, 2020",749.37,755.32,775.22,740.71,-0.8
"Mar 12, 2020",755.43,773.69,780.29,751.31,-2.33
"Mar 11, 2020",773.48,771.45,779.99,767.25,0.26
"Mar 10, 2020",771.45,791.12,793.94,768.09,-2.48
"Mar 09, 2020",791.06,786.25,801.71,759.64,0.03
"Mar 06, 2020",790.79,786.29,793.16,783.69,0.56
"Mar 05, 2020",786.4,785.18,786.8,781.59,0.12
"Mar 04, 2020",785.45,777.46,785.7,776.51,1.03
"Mar 03, 2020",777.46,778.34,791.67,774.66,-0.08
"Mar 02, 2020",778.07,778.75,785.83,775.03,-0.43
"Feb 28, 2020",781.41,796.66,799.7,777.41,-1.91
"Feb 27, 2020",796.61,793.36,799.09,792.46,0.37
"Feb 26, 2020",793.66,802.95,804.85,792.95,-1.2
"Feb 25, 2020",803.32,805.29,806.97,798.21,-0.24
"Feb 24, 2020",805.26,800.12,807.2,794.45,0.65
"Feb 21, 2020",800.04,797.14,802.75,794.66,0.33
"Feb 20, 2020",797.37,796.44,800.51,794.06,0.12
"Feb 19, 2020",796.45,796.73,798.2,793.39,0.01
"Feb 18, 2020",796.39,796.02,797.76,793.47,0.07
"Feb 17, 2020",795.85,793.5,797.11,793.23,0.14
"Feb 14, 2020",794.7,795.91,797.25,793.97,-0.15
"Feb 13, 2020",795.92,794.75,798.15,790.49,0.15
"Feb 12, 2020",794.75,793.76,797.16,791.71,0.12
"Feb 11, 2020",793.76,794.53,796.54,792.74,-0.09
"Feb 10, 2020",794.47,796.22,797.6,792.73,-0.14
"Feb 07, 2020",795.62,798.41,799.68,795.38,-0.35
"Feb 06, 2020",798.42,798.93,800.98,796.28,-0.07
"Feb 05, 2020",799.0,797.72,803.84,796.3,0.15
"Feb 04, 2020",797.83,796.88,799.44,794.9,0.12
"Feb 03, 2020",796.88,800.25,802.54,796.51,-0.43
"Jan 31, 2020",800.34,798.77,803.28,795.94,0.17
"Jan 30, 2020",798.95,796.92,802.8,795.49,0.28
"Jan 29, 2020",796.75,795.7,797.8,793.73,0.18
"Jan 28, 2020",795.35,795.77,797.29,793.21,-0.11
"Jan 27, 2020",796.25,797.75,801.75,794.86,-0.36
"Jan 24, 2020",799.13,800.78,801.31,796.9,-0.21
"Jan 23, 2020",800.78,797.97,804.25,796.57,0.35
