Date,Price,Open,High,Low,Change
"Apr 17, 2020",1322.54,1331.84,1334.32,1316.03,-0.7
"Apr 16, 2020",1331.84,1336.05,1339.38,1328.27,-0.31
"Apr 15, 2020",1336.05,1331.44,1339.09,1328.27,0.35
"Apr 14, 2020",1331.44,1327.22,1334.81,1324.83,0.33
"Apr 13, 2020",1327.1,1326.2,1335.81,1324.39,0.16
"Apr 10, 2020",1324.95,1323.71,1328.83,1319.9,0.1
"Apr 09, 2020",1323.59,1320.61,1329.76,1316.56,0.23
"Apr 08, 2020",1320.61,1323.72,1330.65,1318.07,-0.23
"Apr 07, 2020",1323.72,1321.76,1326.97,1314.99,0.15
"Apr 06, 2020",1321.76,1337.42,1339.6,1320.45,-1.11
"Apr 03, 2020",1336.66,1333.2,1341.89,1327.19,0.26
"Apr 02, 2020",1333.2,1355.92,1360.63,1331.65,-1.68
"Apr 01, 2020",1355.92,1344.45,1358.2,1341.51,0.85
"Mar 31, 2020",1344.45,1352.85,1353.47,1334.81,-0.64
"Mar 30, 2020",1353.16,1350.61,1361.41,1346.81,0.14
"Mar 27, 2020",1351.22,1338.38,1354.91,1333.18,0.96
"Mar 26, 2020",1338.38,1341.63,1346.6,1332.69,-0.25
"Mar 25, 2020",1341.76,1331.59,1343.3,1324.73,0.76
"Mar 24, 2020",1331.59,1365.35,1370.45,1327.7,-2.45
"Mar 23, 2020",1365.04,1342.3,1378.91,1334.83,1.7
"Mar 20, 2020",1342.17,1345.38,1353.54,1329.34,-0.24
"Mar 19, 2020",1345.44,1371.46,1409.9,1337.35,-2.14
"Mar 18, 2020",1374.81,1364.93,1389.19,1355.68,0.84
"Mar 17, 2020",1363.37,1378.08,1392.55,1358.56,-1.11
"Mar 16, 2020",1378.71,1343.27,1379.83,1338.55,2.44
"Mar 13, 2020",1345.87,1354.67,1375.07,1338.53,-0.65
"Mar 12, 2020",1354.74,1344.47,1366.05,1339.28,0.79
"Mar 11, 2020",1344.07,1337.64,1359.68,1336.01,0.49
"Mar 10, 2020",1337.53,1374.93,1375.95,1336.42,-2.72
"Mar 09, 2020",1374.96,1342.47,1383.26,1341.4,2.48
"Mar 06, 2020",1341.68,1336.23,1351.9,1332.69,0.41
"Mar 05, 2020",1336.23,1319.43,1337.59,1313.7,1.24
"Mar 04, 2020",1319.88,1319.41,1328.88,1312.2,0.03
"Mar 03, 2020",1319.54,1325.18,1334.33,1315.52,-0.38
"Mar 02, 2020",1324.62,1320.69,1335.29,1315.65,0.08
"Feb 28, 2020",1323.54,1333.96,1339.32,1321.38,-0.78
"Feb 27, 2020",1333.95,1319.17,1334.56,1318.01,1.08
"Feb 26, 2020",1319.66,1323.18,1327.08,1317.8,-0.27
"Feb 25, 2020",1323.17,1323.73,1325.82,1312.41,-0.01
"Feb 24, 2020",1323.29,1308.51,1325.33,1304.89,1.09
"Feb 21, 2020",1309.07,1299.45,1315.32,1297.6,0.72
"Feb 20, 2020",1299.7,1289.16,1305.74,1287.88,0.82
"Feb 19, 2020",1289.15,1285.82,1290.53,1282.43,0.29
"Feb 18, 2020",1285.37,1284.56,1290.85,1282.72,0.08
"Feb 17, 2020",1284.39,1280.89,1284.78,1278.18,0.19
"Feb 14, 2020",1281.92,1284.2,1286.48,1279.9,-0.18
"Feb 13, 2020",1284.26,1282.42,1289.67,1281.23,0.14
"Feb 12, 2020",1282.48,1290.54,1293.21,1282.22,-0.63
"Feb 11, 2020",1290.55,1296.4,1297.12,1288.69,-0.45
"Feb 10, 2020",1296.41,1305.9,1308.53,1296.05,-0.66
"Feb 07, 2020",1305.07,1302.77,1313.0,1301.38,0.19
"Feb 06, 2020",1302.6,1302.54,1304.68,1295.62,-0.01
"Feb 05, 2020",1302.72,1307.5,1317.33,1300.12,-0.37
"Feb 04, 2020",1307.5,1316.89,1321.73,1306.84,-0.72
"Feb 03, 2020",1317.02,1326.8,1329.97,1315.45,-0.74
"Jan 31, 2020",1326.81,1311.2,1329.29,1306.7,1.18
"Jan 30, 2020",1311.31,1298.95,1317.94,1298.2,0.95
"Jan 29, 2020",1298.94,1297.09,1300.07,1294.89,0.2
"Jan 28, 2020",1296.31,1297.05,1301.86,1294.46,-0.11
"Jan 27, 2020",1297.71,1289.62,1300.87,1289.61,0.59
"Jan 24, 2020",1290.14,1292.92,1293.51,1287.91,-0.21
"Jan 23, 2020",1292.81,1293.18,1297.58,1289.97,-0.03
"Jan 22, 2020",1293.18,1296.84,1297.4,1288.41,-0.28
"Jan 21, 2020",1296.84,1286.7,1299.33,1285.13,0.8
"Jan 20, 2020",1286.59,1288.15,1290.02,1283.55,-0.11
"Jan 17, 2020",1288.04,1292.7,1293.87,1286.64,-0.36
"Jan 16, 2020",1292.7,1292.3,1296.62,1290.23,0.03
"Jan 15, 2020",1292.3,1288.97,1294.98,1287.07,0.26
"Jan 14, 2020",1288.96,1286.04,1292.62,1282.34,0.23
"Jan 13, 2020",1286.04,1289.36,1290.83,1283.71,-0.23
"Jan 10, 2020",1289.01,1287.98,1293.67,1285.05,0.08
"Jan 09, 2020",1287.98,1291.67,1293.56,1285.6,-0.23
"Jan 08, 2020",1290.97,1302.07,1316.62,1288.71,-0.93
"Jan 07, 2020",1303.12,1307.51,1308.52,1299.98,-0.33
"Jan 06, 2020",1307.43,1301.59,1310.78,1299.98,0.46
"Jan 03, 2020",1301.43,1293.99,1305.09,1291.9,0.59
"Jan 02, 2020",1293.77,1294.44,1299.52,1292.72,-0.1
