Date,Price,Open,High,Low,Change
"Apr 17, 2020",1520.42,1530.94,1534.16,1510.84,-0.69
"Apr 16, 2020",1530.94,1532.85,1538.15,1523.41,-0.12
"Apr 15, 2020",1532.85,1530.72,1538.9,1520.08,0.14
"Apr 14, 2020",1530.72,1521.65,1534.44,1519.04,0.62
"Apr 13, 2020",1521.35,1510.81,1526.36,1508.73,0.82
"Apr 10, 2020",1508.93,1508.77,1515.02,1503.89,0.02
"Apr 09, 2020",1508.65,1506.58,1517.11,1502.07,0.14
"Apr 08, 2020",1506.58,1499.72,1511.22,1497.24,0.52
"Apr 07, 2020",1498.81,1497.8,1505.47,1487.26,0.07
"Apr 06, 2020",1497.8,1516.81,1517.12,1496.53,-1.22
"Apr 03, 2020",1516.33,1521.8,1527.91,1510.02,-0.36
"Apr 02, 2020",1521.8,1530.79,1540.49,1518.38,-0.59
"Apr 01, 2020",1530.79,1513.69,1536.42,1507.04,1.13
"Mar 31, 2020",1513.69,1520.33,1520.56,1496.42,-0.47
"Mar 30, 2020",1520.82,1509.73,1524.42,1502.77,0.67
"Mar 27, 2020",1510.76,1480.65,1518.73,1471.69,2.02
"Mar 26, 2020",1480.83,1465.67,1485.99,1450.56,1.09
"Mar 25, 2020",1464.93,1451.24,1478.22,1435.22,0.94
"Mar 24, 2020",1451.24,1470.13,1476.56,1446.71,-1.3
"Mar 23, 2020",1470.31,1463.33,1494.05,1447.21,0.63
"Mar 20, 2020",1461.08,1445.47,1488.79,1435.19,1.08
"Mar 19, 2020",1445.47,1459.43,1493.75,1443.62,-0.88
"Mar 18, 2020",1458.3,1501.33,1517.26,1445.0,-2.4
"Mar 17, 2020",1494.15,1511.92,1526.33,1488.73,-1.21
"Mar 16, 2020",1512.48,1488.67,1521.68,1484.67,1.65
"Mar 13, 2020",1487.94,1522.84,1539.96,1485.61,-2.29
"Mar 12, 2020",1522.86,1529.74,1548.72,1512.14,-0.43
"Mar 11, 2020",1529.36,1530.62,1549.44,1524.53,-0.08
"Mar 10, 2020",1530.57,1577.31,1577.47,1526.26,-2.96
"Mar 09, 2020",1577.19,1550.97,1590.38,1549.08,1.67
"Mar 06, 2020",1551.33,1541.48,1553.14,1537.01,0.64
"Mar 05, 2020",1541.42,1525.12,1544.57,1519.22,1.04
"Mar 04, 2020",1525.57,1513.04,1527.8,1509.51,0.82
"Mar 03, 2020",1513.1,1517.62,1530.58,1510.45,-0.27
"Mar 02, 2020",1517.23,1536.51,1547.26,1516.6,-1.41
"Feb 28, 2020",1538.93,1562.62,1569.09,1533.62,-1.51
"Feb 27, 2020",1562.6,1564.49,1575.67,1553.22,-0.16
"Feb 26, 2020",1565.13,1581.58,1587.01,1563.48,-1.04
"Feb 25, 2020",1581.59,1577.65,1584.23,1563.36,0.32
"Feb 24, 2020",1576.51,1564.27,1580.74,1561.62,0.69
"Feb 21, 2020",1565.69,1552.0,1571.3,1549.42,0.85
"Feb 20, 2020",1552.43,1541.47,1557.63,1539.73,0.71
"Feb 19, 2020",1541.47,1548.64,1552.41,1538.94,-0.44
"Feb 18, 2020",1548.3,1541.71,1554.28,1539.41,0.41
"Feb 17, 2020",1541.97,1541.65,1545.26,1538.2,-0.14
"Feb 14, 2020",1544.18,1545.53,1547.7,1538.02,-0.08
"Feb 13, 2020",1545.46,1528.83,1547.53,1526.82,1.09
"Feb 12, 2020",1528.77,1531.13,1535.01,1525.27,-0.17
"Feb 11, 2020",1531.37,1534.52,1535.32,1525.17,-0.2
"Feb 10, 2020",1534.46,1537.89,1540.45,1529.04,-0.18
"Feb 07, 2020",1537.29,1533.8,1549.68,1532.36,0.22
"Feb 06, 2020",1533.86,1539.95,1541.02,1529.09,-0.4
"Feb 05, 2020",1539.95,1542.62,1554.12,1532.85,-0.18
"Feb 04, 2020",1542.74,1547.32,1552.08,1537.95,-0.3
"Feb 03, 2020",1547.43,1580.61,1580.79,1547.2,-1.99
"Jan 31, 2020",1578.8,1556.66,1582.62,1552.34,1.43
"Jan 30, 2020",1556.59,1536.12,1564.08,1533.85,1.34
"Jan 29, 2020",1536.06,1533.02,1537.0,1529.97,0.25
"Jan 28, 2020",1532.23,1536.93,1538.78,1528.47,-0.35
"Jan 27, 2020",1537.55,1530.16,1546.1,1527.33,0.47
"Jan 24, 2020",1530.33,1534.6,1538.83,1525.95,-0.29
"Jan 23, 2020",1534.79,1532.04,1537.87,1529.65,0.18
"Jan 22, 2020",1532.04,1526.76,1533.38,1517.16,0.34
"Jan 21, 2020",1526.92,1508.72,1528.41,1505.94,1.21
"Jan 20, 2020",1508.71,1510.16,1512.04,1502.16,-0.15
"Jan 17, 2020",1511.04,1518.35,1521.34,1510.54,-0.47
"Jan 16, 2020",1518.12,1511.11,1519.89,1509.64,0.47
"Jan 15, 2020",1510.98,1507.97,1515.33,1503.3,0.21
"Jan 14, 2020",1507.74,1500.29,1509.68,1495.88,0.52
"Jan 13, 2020",1499.99,1513.08,1514.01,1498.15,-0.91
"Jan 10, 2020",1513.73,1515.41,1521.62,1511.09,-0.11
"Jan 09, 2020",1515.4,1523.73,1525.77,1508.46,-0.48
"Jan 08, 2020",1522.76,1532.29,1547.07,1519.11,-0.69
"Jan 07, 2020",1533.39,1538.06,1540.33,1527.82,-0.27
"Jan 06, 2020",1537.5,1523.93,1541.14,1522.65,0.76
"Jan 03, 2020",1525.93,1521.78,1533.38,1520.89,0.25
"Jan 02, 2020",1522.17,1530.49,1535.34,1519.1,-0.58
"Jan 01, 2020",1530.98,1531.62,1533.51,1528.89,-0.11
"Dec 31, 2019",1532.66,1518.69,1534.11,1513.86,0.92
"Dec 30, 2019",1518.62,1516.73,1522.59,1511.51,0.14
"Dec 27, 2019",1516.57,1509.77,1523.79,1505.66,0.42
"Dec 26, 2019",1510.17,1504.46,1513.39,1503.31,0.38
"Dec 25, 2019",1504.46,1506.18,1508.93,1500.13,-0.12
"Dec 24, 2019",1506.23,1505.74,1509.88,1500.13,0.03
"Dec 23, 2019",1505.74,1507.22,1517.47,1501.03,-0.13
"Dec 20, 2019",1507.68,1512.64,1517.47,1504.24,-0.37
"Dec 19, 2019",1513.3,1527.06,1531.88,1511.9,-0.82
"Dec 18, 2019",1525.76,1527.33,1534.07,1522.06,-0.18
"Dec 17, 2019",1528.53,1557.67,1559.68,1523.45,-1.87
"Dec 16, 2019",1557.7,1569.08,1574.44,1556.79,-0.62
"Dec 13, 2019",1567.48,1543.94,1584.59,1542.89,1.52
"Dec 12, 2019",1544.05,1569.74,1576.62,1534.37,-1.63
"Dec 11, 2019",1569.69,1566.22,1573.97,1561.36,0.22
"Dec 10, 2019",1566.21,1565.69,1574.56,1563.24,0.08
"Dec 09, 2019",1564.98,1558.44,1570.77,1555.95,0.43
"Dec 06, 2019",1558.33,1563.87,1569.59,1557.19,-0.38
"Dec 05, 2019",1564.27,1562.32,1568.11,1557.3,0.2
"Dec 04, 2019",1561.11,1545.44,1562.61,1543.12,0.95
"Dec 03, 2019",1546.37,1533.78,1552.79,1532.15,0.8
"Dec 02, 2019",1534.1,1526.46,1536.58,1521.68,0.37
"Nov 29, 2019",1528.41,1522.09,1530.2,1517.46,0.41
"Nov 28, 2019",1522.15,1520.36,1528.02,1520.06,0.08
"Nov 27, 2019",1520.88,1509.73,1521.0,1507.67,0.75
"Nov 26, 2019",1509.6,1514.09,1519.04,1508.53,-0.31
"Nov 25, 2019",1514.28,1515.09,1519.1,1509.99,-0.02
"Nov 22, 2019",1514.54,1520.61,1526.3,1512.29,-0.35
"Nov 21, 2019",1519.86,1512.35,1524.84,1511.71,0.44
"Nov 20, 2019",1513.16,1509.97,1515.63,1508.38,0.2
"Nov 19, 2019",1510.21,1512.26,1517.0,1507.64,-0.12
"Nov 18, 2019",1512.03,1501.7,1514.71,1501.23,0.72
"Nov 15, 2019",1501.22,1506.12,1507.71,1499.16,-0.31
"Nov 14, 2019",1505.95,1506.08,1511.36,1500.43,0.03
"Nov 13, 2019",1505.51,1497.79,1507.65,1496.78,0.47
"Nov 12, 2019",1498.41,1497.83,1501.04,1489.09,0.02
"Nov 11, 2019",1498.18,1481.63,1503.77,1481.63,1.23
"Nov 08, 2019",1480.03,1479.29,1485.12,1477.94,-0.03
"Nov 07, 2019",1480.47,1492.59,1495.87,1477.22,-0.86
"Nov 06, 2019",1493.33,1490.66,1495.72,1488.57,0.19
"Nov 05, 2019",1490.57,1499.55,1500.19,1487.35,-0.52
"Nov 04, 2019",1498.35,1507.76,1508.21,1495.94,-0.56
"Nov 01, 2019",1506.72,1513.35,1515.96,1504.78,-0.52
"Oct 31, 2019",1514.53,1503.73,1517.44,1498.57,0.72
"Oct 30, 2019",1503.73,1503.37,1508.26,1500.66,0.1
"Oct 29, 2019",1502.29,1502.22,1505.78,1492.32,-0.07
"Oct 28, 2019",1503.36,1504.12,1506.53,1497.89,0.05
"Oct 25, 2019",1502.62,1510.46,1511.13,1501.05,-0.51
"Oct 24, 2019",1510.38,1511.11,1517.72,1500.63,-0.13
"Oct 23, 2019",1512.28,1510.01,1514.01,1505.26,0.14
"Oct 22, 2019",1510.17,1520.58,1524.73,1507.74,-0.62
"Oct 21, 2019",1519.55,1522.77,1526.78,1511.59,-0.64
"Oct 18, 2019",1529.35,1520.45,1530.82,1515.1,0.63
"Oct 17, 2019",1519.82,1521.85,1528.38,1503.5,-0.18
"Oct 16, 2019",1522.53,1516.39,1528.88,1506.16,0.48
"Oct 15, 2019",1515.21,1492.52,1516.72,1490.71,1.44
"Oct 14, 2019",1493.67,1494.14,1497.95,1483.9,-0.22
"Oct 11, 2019",1496.92,1481.02,1502.77,1471.15,1.06
"Oct 10, 2019",1481.23,1462.97,1484.52,1455.4,1.25
"Oct 09, 2019",1462.89,1466.3,1473.3,1461.17,-0.23
"Oct 08, 2019",1466.31,1471.52,1472.7,1460.99,-0.37
"Oct 07, 2019",1471.76,1469.69,1478.04,1465.1,0.09
"Oct 04, 2019",1470.4,1482.29,1485.28,1467.29,-0.77
"Oct 03, 2019",1481.87,1482.79,1492.95,1477.14,-0.06
"Oct 02, 2019",1482.79,1480.45,1486.81,1473.79,0.12
"Oct 01, 2019",1481.05,1473.5,1485.05,1468.59,0.48
"Sep 30, 2019",1473.92,1478.4,1481.42,1470.24,-0.3
"Sep 27, 2019",1478.36,1479.08,1483.62,1471.66,-0.07
"Sep 26, 2019",1479.33,1481.8,1487.13,1478.19,-0.17
"Sep 25, 2019",1481.89,1493.2,1497.61,1481.1,-0.76
"Sep 24, 2019",1493.22,1485.56,1497.25,1482.72,0.52
"Sep 23, 2019",1485.56,1488.96,1493.41,1484.97,-0.31
"Sep 20, 2019",1490.15,1497.77,1498.51,1480.97,-0.46
"Sep 19, 2019",1497.06,1486.45,1500.6,1484.38,0.72
"Sep 18, 2019",1486.33,1485.01,1493.27,1481.95,0.11
"Sep 17, 2019",1484.64,1472.98,1487.85,1471.03,0.79
"Sep 16, 2019",1472.98,1474.88,1481.93,1468.17,-0.13
"Sep 13, 2019",1474.83,1458.62,1476.1,1454.83,1.13
"Sep 12, 2019",1458.42,1467.87,1469.74,1452.22,-0.64
"Sep 11, 2019",1467.87,1472.31,1477.81,1466.59,-0.23
"Sep 10, 2019",1471.28,1471.88,1476.21,1464.61,-0.11
"Sep 09, 2019",1472.91,1467.55,1477.96,1459.98,0.54
"Sep 06, 2019",1464.96,1477.77,1479.45,1463.34,-0.85
"Sep 05, 2019",1477.58,1475.24,1482.05,1464.33,0.11
"Sep 04, 2019",1475.97,1464.35,1476.82,1461.18,0.8
"Sep 03, 2019",1464.27,1465.86,1469.52,1453.82,-0.1
"Sep 02, 2019",1465.79,1470.76,1477.8,1458.41,-0.4
"Aug 30, 2019",1471.72,1473.91,1479.08,1468.89,-0.15
"Aug 29, 2019",1473.92,1481.54,1487.23,1471.78,-0.52
"Aug 28, 2019",1481.55,1490.33,1492.89,1477.17,-0.59
"Aug 27, 2019",1490.34,1481.62,1494.09,1479.48,0.58
"Aug 26, 2019",1481.72,1487.58,1498.54,1481.14,-0.57
"Aug 23, 2019",1490.19,1482.83,1496.29,1476.02,0.48
"Aug 22, 2019",1483.01,1458.34,1486.3,1457.67,1.69
"Aug 21, 2019",1458.32,1468.06,1472.69,1456.47,-0.67
"Aug 20, 2019",1468.19,1470.55,1473.44,1456.62,-0.16
"Aug 19, 2019",1470.55,1468.16,1475.61,1463.13,0.15
"Aug 16, 2019",1468.36,1466.38,1473.11,1464.13,0.14
"Aug 15, 2019",1466.37,1467.6,1477.87,1464.3,-0.09
"Aug 14, 2019",1467.65,1455.2,1471.82,1454.24,0.86
"Aug 13, 2019",1455.14,1472.05,1481.07,1453.22,-1.15
"Aug 12, 2019",1472.11,1462.99,1476.6,1459.23,0.75
"Aug 09, 2019",1461.11,1464.9,1471.12,1459.87,-0.31
"Aug 08, 2019",1465.7,1473.82,1477.62,1461.79,-0.48
"Aug 07, 2019",1472.84,1475.46,1483.82,1471.32,-0.25
"Aug 06, 2019",1476.5,1479.42,1485.75,1468.82,-0.19
"Aug 05, 2019",1479.3,1463.86,1484.62,1461.53,1.03
"Aug 02, 2019",1464.27,1450.42,1468.37,1442.28,0.87
"Aug 01, 2019",1451.57,1444.87,1457.02,1435.94,0.46
"Jul 31, 2019",1444.88,1436.78,1449.19,1434.91,0.65
"Jul 30, 2019",1435.49,1445.44,1446.88,1430.69,-0.75
"Jul 29, 2019",1446.38,1466.88,1468.26,1446.06,-1.36
"Jul 26, 2019",1466.38,1475.52,1478.72,1464.38,-0.65
"Jul 25, 2019",1475.93,1471.02,1477.71,1468.69,0.33
"Jul 24, 2019",1471.12,1467.56,1475.08,1463.01,0.24
"Jul 23, 2019",1467.55,1468.14,1472.5,1464.16,-0.05
"Jul 22, 2019",1468.32,1471.25,1476.34,1465.51,-0.14
"Jul 19, 2019",1470.32,1471.31,1475.66,1465.62,-0.11
"Jul 18, 2019",1471.9,1467.82,1474.77,1462.18,0.28
"Jul 17, 2019",1467.81,1463.36,1471.02,1461.94,0.29
"Jul 16, 2019",1463.57,1476.9,1479.64,1460.51,-0.94
"Jul 15, 2019",1477.4,1480.24,1485.97,1476.01,-0.21
"Jul 12, 2019",1480.48,1471.07,1482.41,1469.76,0.62
"Jul 11, 2019",1471.36,1470.77,1476.75,1466.98,0.04
"Jul 10, 2019",1470.77,1475.07,1476.65,1469.19,-0.29
"Jul 09, 2019",1475.12,1477.82,1479.24,1470.92,-0.17
"Jul 08, 2019",1477.65,1471.67,1482.35,1470.96,0.42
"Jul 05, 2019",1471.54,1468.77,1474.4,1464.97,0.13
"Jul 04, 2019",1469.65,1472.07,1475.54,1467.53,-0.16
"Jul 03, 2019",1472.01,1470.25,1478.07,1467.44,0.12
"Jul 02, 2019",1470.19,1468.7,1477.41,1466.82,0.12
"Jul 01, 2019",1468.47,1468.06,1473.93,1459.05,0.03
"Jun 28, 2019",1468.03,1468.12,1473.62,1462.44,0.08
"Jun 27, 2019",1466.89,1464.17,1470.7,1462.6,0.11
"Jun 26, 2019",1465.22,1468.16,1472.2,1461.53,-0.14
"Jun 25, 2019",1467.3,1470.58,1478.58,1464.2,-0.27
"Jun 24, 2019",1471.28,1474.7,1480.85,1469.23,-0.39
"Jun 21, 2019",1477.06,1472.7,1480.71,1467.32,0.31
"Jun 20, 2019",1472.52,1482.18,1487.48,1467.63,-0.65
"Jun 19, 2019",1482.13,1475.41,1487.7,1474.37,0.46
"Jun 18, 2019",1475.35,1487.16,1489.86,1470.36,-0.8
"Jun 17, 2019",1487.22,1495.37,1497.6,1486.61,-0.49
"Jun 14, 2019",1494.52,1498.6,1502.93,1490.15,-0.35
"Jun 13, 2019",1499.8,1502.76,1508.61,1498.01,-0.12
"Jun 12, 2019",1501.6,1499.44,1509.01,1498.02,0.08
"Jun 11, 2019",1500.43,1502.05,1505.8,1494.88,-0.1
"Jun 10, 2019",1501.98,1502.12,1510.62,1498.93,-0.23
"Jun 07, 2019",1505.48,1497.03,1510.22,1495.53,0.57
"Jun 06, 2019",1496.97,1498.07,1503.98,1495.27,-0.07
"Jun 05, 2019",1498.02,1496.41,1502.93,1492.16,0.12
"Jun 04, 2019",1496.15,1493.99,1503.32,1491.91,0.15
"Jun 03, 2019",1493.95,1500.88,1506.26,1490.28,-0.54
"May 31, 2019",1502.11,1500.07,1506.61,1495.96,0.14
"May 30, 2019",1500.01,1507.7,1509.8,1496.0,-0.51
"May 29, 2019",1507.76,1504.54,1515.75,1502.84,0.22
"May 28, 2019",1504.42,1501.84,1508.94,1500.24,0.17
"May 27, 2019",1501.89,1509.54,1512.97,1500.39,-0.37
