Date,Price,Open,High,Low,Change
"Apr 17, 2020",156.925,158.555,158.62,156.61,-1.03
"Apr 16, 2020",158.555,158.015,158.75,157.77,0.34
"Apr 15, 2020",158.015,156.425,158.145,156.04,1.02
"Apr 14, 2020",156.425,156.84,157.295,156.27,-0.26
"Apr 13, 2020",156.84,156.345,157.585,156.265,0.36
"Apr 10, 2020",156.275,156.21,156.855,155.64,0.04
"Apr 09, 2020",156.21,156.905,157.65,155.885,-0.44
"Apr 08, 2020",156.905,156.78,157.795,156.62,0.08
"Apr 07, 2020",156.78,157.975,158.085,155.935,-0.76
"Apr 06, 2020",157.975,159.525,159.87,157.84,-0.96
"Apr 03, 2020",159.505,158.395,160.02,157.915,0.7
"Apr 02, 2020",158.395,159.53,160.37,158.09,-0.71
"Apr 01, 2020",159.535,157.24,159.865,156.935,1.46
"Mar 31, 2020",157.24,157.925,158.045,156.655,-0.43
"Mar 30, 2020",157.925,156.45,158.28,156.36,0.95
"Mar 27, 2020",156.445,156.52,158.32,155.49,-0.05
"Mar 26, 2020",156.525,159.045,159.32,156.405,-1.59
"Mar 25, 2020",159.05,159.195,159.805,158.09,-0.09
"Mar 24, 2020",159.195,164.14,164.16,159.01,-3.0
"Mar 23, 2020",164.125,161.78,165.375,161.665,1.45
"Mar 20, 2020",161.78,162.145,162.915,159.495,-0.23
"Mar 19, 2020",162.145,161.84,166.475,160.685,0.19
"Mar 18, 2020",161.84,159.74,163.415,158.64,1.31
"Mar 17, 2020",159.74,158.68,160.55,158.61,0.63
"Mar 16, 2020",158.745,155.975,158.835,155.765,1.77
"Mar 13, 2020",155.98,155.74,157.73,155.15,0.15
"Mar 12, 2020",155.74,153.58,155.9,153.36,1.44
"Mar 11, 2020",153.535,152.635,154.195,152.425,0.59
"Mar 10, 2020",152.64,154.58,154.62,152.49,-1.24
"Mar 09, 2020",154.56,152.94,155.32,152.94,1.05
"Mar 06, 2020",152.95,152.96,153.7,152.46,-0.01
"Mar 05, 2020",152.96,152.45,153.4,151.81,0.3
"Mar 04, 2020",152.5,151.98,153.08,151.97,0.34
"Mar 03, 2020",151.98,152.98,153.74,151.86,-0.62
"Mar 02, 2020",152.925,153.965,154.895,152.745,-0.69
"Feb 28, 2020",153.985,155.605,156.205,153.815,-1.04
"Feb 27, 2020",155.605,155.575,156.285,154.825,-0.02
"Feb 26, 2020",155.63,156.09,156.65,155.52,-0.3
"Feb 25, 2020",156.095,156.475,156.575,155.195,-0.2
"Feb 24, 2020",156.415,154.985,156.795,154.885,0.91
"Feb 21, 2020",155.005,154.875,155.965,154.505,0.06
"Feb 20, 2020",154.91,153.49,155.33,153.31,0.93
"Feb 19, 2020",153.49,153.38,153.67,152.86,0.1
"Feb 18, 2020",153.33,152.6,153.46,152.4,0.48
"Feb 17, 2020",152.595,152.235,152.595,151.805,0.16
"Feb 14, 2020",152.35,152.52,152.74,152.05,-0.1
"Feb 13, 2020",152.51,151.78,152.57,151.69,0.48
"Feb 12, 2020",151.785,152.245,152.585,151.525,-0.3
"Feb 11, 2020",152.24,153.0,153.09,152.08,-0.5
"Feb 10, 2020",153.0,153.53,153.86,152.69,-0.35
"Feb 07, 2020",153.535,152.785,154.095,152.685,0.49
"Feb 06, 2020",152.78,152.58,152.86,151.79,0.13
"Feb 05, 2020",152.585,152.455,153.665,152.095,0.09
"Feb 04, 2020",152.45,153.32,153.81,152.44,-0.57
"Feb 03, 2020",153.33,154.02,154.49,153.29,-0.45
"Jan 31, 2020",154.02,153.05,154.41,152.47,0.63
"Jan 30, 2020",153.05,151.77,153.72,151.63,0.84
"Jan 29, 2020",151.77,151.38,151.92,151.04,0.34
"Jan 28, 2020",151.255,151.355,151.915,151.055,-0.12
"Jan 27, 2020",151.435,150.565,151.785,150.515,0.58
"Jan 24, 2020",150.555,150.485,150.685,150.085,0.05
"Jan 23, 2020",150.48,150.02,150.67,149.86,0.3
"Jan 22, 2020",150.025,150.575,150.595,149.545,-0.37
"Jan 21, 2020",150.575,149.255,150.725,149.075,0.88
"Jan 20, 2020",149.26,149.52,149.66,148.91,-0.17
"Jan 17, 2020",149.52,149.38,149.64,148.85,0.11
"Jan 16, 2020",149.35,149.13,149.58,148.93,0.15
"Jan 15, 2020",149.13,148.94,149.6,148.71,0.13
"Jan 14, 2020",148.93,148.62,149.25,148.07,0.21
"Jan 13, 2020",148.625,149.225,149.335,148.545,-0.41
"Jan 10, 2020",149.23,149.31,149.99,149.13,-0.05
"Jan 09, 2020",149.305,149.615,149.685,148.985,-0.12
"Jan 08, 2020",149.49,150.1,151.66,149.19,-0.47
"Jan 07, 2020",150.2,150.26,150.38,149.73,-0.05
"Jan 06, 2020",150.27,149.83,150.94,149.76,0.26
"Jan 03, 2020",149.875,148.785,150.285,148.435,0.81
"Jan 02, 2020",148.67,148.21,149.0,148.03,0.27
"Jan 01, 2020",148.265,148.265,148.335,148.165,-0.0
"Dec 31, 2019",148.27,148.69,148.84,148.09,-0.29
"Dec 30, 2019",148.695,149.075,149.115,148.275,-0.16
"Dec 27, 2019",148.93,149.2,149.31,148.75,-0.21
"Dec 26, 2019",149.245,149.035,149.385,148.975,0.17
"Dec 25, 2019",148.995,149.465,149.465,148.985,-0.27
"Dec 24, 2019",149.395,149.465,149.845,149.075,-0.05
"Dec 23, 2019",149.475,148.725,149.645,148.665,0.5
"Dec 20, 2019",148.725,149.255,149.535,148.485,-0.36
"Dec 19, 2019",149.255,149.935,149.995,149.225,-0.37
"Dec 18, 2019",149.81,149.4,150.11,149.22,0.2
"Dec 17, 2019",149.515,149.965,150.335,149.255,-0.3
"Dec 16, 2019",149.96,150.85,151.02,149.86,-0.56
"Dec 13, 2019",150.805,150.295,151.205,149.705,0.33
"Dec 12, 2019",150.305,152.355,152.825,150.025,-1.35
"Dec 11, 2019",152.355,152.095,153.075,152.005,0.17
"Dec 10, 2019",152.095,152.095,152.665,151.965,0.01
"Dec 09, 2019",152.085,151.505,152.435,151.475,0.38
"Dec 06, 2019",151.51,151.82,152.34,151.43,-0.23
"Dec 05, 2019",151.865,152.285,152.475,151.745,-0.2
"Dec 04, 2019",152.17,151.85,152.76,151.7,0.12
"Dec 03, 2019",151.995,151.445,152.515,151.265,0.34
"Dec 02, 2019",151.48,150.96,151.69,150.52,0.35
"Nov 29, 2019",150.95,150.65,151.16,150.49,0.23
