Date,Price,Open,High,Low,Change
"Apr 17, 2020",1216.24,1228.98,1229.45,1213.95,-1.04
"Apr 16, 2020",1228.98,1224.72,1230.53,1222.94,0.35
"Apr 15, 2020",1224.72,1212.5,1225.77,1209.61,1.01
"Apr 14, 2020",1212.5,1215.97,1219.45,1211.31,-0.28
"Apr 13, 2020",1215.96,1212.04,1221.7,1211.59,0.36
"Apr 10, 2020",1211.55,1211.11,1216.1,1206.64,0.04
"Apr 09, 2020",1211.08,1216.26,1222.36,1208.67,-0.43
"Apr 08, 2020",1216.26,1215.43,1223.19,1214.09,0.07
"Apr 07, 2020",1215.43,1224.64,1225.56,1208.79,-0.75
"Apr 06, 2020",1224.64,1236.42,1239.51,1223.58,-0.97
"Apr 03, 2020",1236.61,1227.85,1240.65,1224.18,0.71
"Apr 02, 2020",1227.85,1236.7,1243.29,1225.56,-0.72
"Apr 01, 2020",1236.7,1218.8,1239.27,1216.8,1.47
"Mar 31, 2020",1218.8,1224.71,1225.21,1214.28,-0.48
"Mar 30, 2020",1224.71,1212.73,1227.21,1212.18,0.99
"Mar 27, 2020",1212.73,1213.4,1227.29,1205.31,-0.06
"Mar 26, 2020",1213.4,1233.0,1235.43,1212.48,-1.59
"Mar 25, 2020",1233.0,1234.21,1239.08,1226.07,-0.1
"Mar 24, 2020",1234.21,1273.0,1273.04,1232.9,-3.05
"Mar 23, 2020",1273.0,1254.85,1283.05,1254.4,1.44
"Mar 20, 2020",1254.95,1258.36,1264.6,1237.22,-0.27
"Mar 19, 2020",1258.36,1256.5,1292.93,1247.45,0.15
"Mar 18, 2020",1256.5,1239.76,1269.15,1231.6,1.35
"Mar 17, 2020",1239.76,1232.41,1246.8,1231.93,0.56
"Mar 16, 2020",1232.87,1212.1,1233.58,1209.23,1.74
"Mar 13, 2020",1211.78,1211.21,1226.75,1205.25,0.05
"Mar 12, 2020",1211.21,1193.07,1213.95,1191.43,1.55
"Mar 11, 2020",1192.71,1185.74,1197.73,1184.07,0.59
"Mar 10, 2020",1185.75,1201.03,1201.55,1184.55,-1.26
"Mar 09, 2020",1200.94,1188.66,1206.26,1188.56,1.02
"Mar 06, 2020",1188.8,1188.82,1194.35,1184.86,-0.0
"Mar 05, 2020",1188.82,1184.96,1192.53,1179.8,0.3
"Mar 04, 2020",1185.23,1181.0,1189.11,1181.0,0.36
"Mar 03, 2020",1181.0,1190.11,1196.15,1178.76,-0.73
"Mar 02, 2020",1189.71,1200.21,1207.15,1188.11,-0.88
"Feb 28, 2020",1200.32,1212.75,1218.21,1198.98,-1.02
"Feb 27, 2020",1212.68,1212.36,1218.42,1206.53,-0.01
"Feb 26, 2020",1212.81,1216.04,1220.69,1211.92,-0.27
"Feb 25, 2020",1216.04,1219.58,1220.27,1209.1,-0.26
"Feb 24, 2020",1219.17,1206.96,1222.52,1206.96,1.0
"Feb 21, 2020",1207.07,1204.87,1214.83,1202.81,0.15
"Feb 20, 2020",1205.21,1193.0,1208.91,1191.68,1.02
"Feb 19, 2020",1193.0,1191.45,1193.89,1187.72,0.16
"Feb 18, 2020",1191.04,1185.36,1192.1,1183.85,0.48
"Feb 17, 2020",1185.36,1183.14,1185.36,1179.2,0.16
"Feb 14, 2020",1183.46,1184.59,1186.34,1180.94,-0.09
"Feb 13, 2020",1184.58,1179.51,1185.03,1178.78,0.43
"Feb 12, 2020",1179.51,1182.29,1184.79,1176.8,-0.23
"Feb 11, 2020",1182.25,1188.17,1188.88,1181.05,-0.5
"Feb 10, 2020",1188.17,1192.39,1194.9,1185.73,-0.35
"Feb 07, 2020",1192.39,1186.28,1196.69,1185.35,0.52
"Feb 06, 2020",1186.28,1184.4,1186.88,1178.32,0.16
"Feb 05, 2020",1184.4,1183.9,1193.34,1180.64,0.04
"Feb 04, 2020",1183.9,1190.74,1194.84,1183.9,-0.58
"Feb 03, 2020",1190.79,1195.96,1199.85,1190.53,-0.43
"Jan 31, 2020",1195.97,1188.64,1198.9,1184.56,0.62
"Jan 30, 2020",1188.64,1179.68,1194.03,1178.74,0.76
"Jan 29, 2020",1179.68,1177.11,1180.81,1174.53,0.3
"Jan 28, 2020",1176.11,1177.1,1181.69,1174.86,-0.14
"Jan 27, 2020",1177.7,1170.24,1180.24,1170.2,0.64
"Jan 24, 2020",1170.2,1169.41,1171.1,1166.55,0.06
"Jan 23, 2020",1169.54,1165.76,1171.17,1164.65,0.32
"Jan 22, 2020",1165.76,1170.01,1170.2,1162.3,-0.36
"Jan 21, 2020",1170.01,1159.61,1171.11,1158.19,0.9
"Jan 20, 2020",1159.61,1161.46,1162.7,1156.56,-0.16
"Jan 17, 2020",1161.44,1161.03,1162.29,1156.82,0.06
"Jan 16, 2020",1160.73,1158.91,1162.24,1157.34,0.16
"Jan 15, 2020",1158.91,1158.2,1163.4,1156.27,0.06
"Jan 14, 2020",1158.2,1154.95,1160.14,1151.11,0.28
"Jan 13, 2020",1154.95,1158.92,1160.0,1153.9,-0.35
"Jan 10, 2020",1158.97,1159.73,1164.74,1158.09,-0.06
"Jan 09, 2020",1159.72,1163.34,1164.0,1158.34,-0.23
"Jan 08, 2020",1162.41,1167.46,1179.4,1160.16,-0.5
"Jan 07, 2020",1168.3,1167.54,1169.15,1163.7,0.06
"Jan 06, 2020",1167.56,1165.51,1173.41,1165.48,0.14
"Jan 03, 2020",1165.95,1158.85,1169.24,1156.27,0.69
"Jan 02, 2020",1157.94,1154.62,1160.93,1153.66,0.25
"Jan 01, 2020",1155.02,1155.07,1155.56,1154.23,-0.0
"Dec 31, 2019",1155.07,1157.97,1159.19,1153.14,-0.25
"Dec 30, 2019",1157.97,1160.97,1161.3,1154.89,-0.15
"Dec 27, 2019",1159.68,1162.15,1162.83,1158.12,-0.23
"Dec 26, 2019",1162.3,1161.04,1163.42,1160.34,0.13
"Dec 25, 2019",1160.76,1163.52,1164.09,1160.68,-0.24
"Dec 24, 2019",1163.52,1164.04,1166.61,1160.71,-0.04
"Dec 23, 2019",1164.04,1159.39,1165.2,1159.38,0.4
"Dec 20, 2019",1159.4,1163.23,1166.05,1157.87,-0.33
"Dec 19, 2019",1163.27,1167.62,1168.24,1163.03,-0.29
"Dec 18, 2019",1166.66,1163.24,1168.89,1161.99,0.22
"Dec 17, 2019",1164.15,1168.48,1170.8,1162.6,-0.37
"Dec 16, 2019",1168.48,1176.9,1177.9,1167.98,-0.66
"Dec 13, 2019",1176.21,1172.81,1178.74,1168.44,0.28
"Dec 12, 2019",1172.89,1189.61,1192.7,1170.73,-1.41
"Dec 11, 2019",1189.61,1190.49,1196.14,1189.61,-0.07
"Dec 10, 2019",1190.49,1191.43,1194.86,1189.6,-0.01
"Dec 09, 2019",1190.55,1186.31,1193.21,1186.01,0.37
"Dec 06, 2019",1186.21,1188.62,1192.74,1185.63,-0.23
"Dec 05, 2019",1188.92,1192.18,1193.65,1187.95,-0.2
"Dec 04, 2019",1191.32,1188.94,1195.88,1187.8,0.11
"Dec 03, 2019",1190.06,1185.48,1193.99,1184.4,0.36
"Dec 02, 2019",1185.78,1181.96,1187.61,1178.35,0.35
"Nov 29, 2019",1181.7,1179.13,1183.16,1177.91,0.24
