horse_name,horse_home,horse_sex,horse_dob,horse_age,horse_class,horse_group,horse_trainer,horse_owner,horse_dad,horse_mom,race_count,first,second,one_yr_count,one_yr_first,one_yr_second,horse_earned_money,horse_rating,horse_price
가가나,한,수,2017/02/10,3,국5,50,박재우,이경호,라이언메탈,스트롱윈드,6,1,1,6,1,1,28640000,33, 0
가나파크,한,암,2017/03/05,3,국미,07,구자흥,김한수,디바인파크,능인장,0,0,0,0,0,0,0,,0
가라가라가,한,수,2015/05/12,5,국3,31,강환민,서창식,엑톤파크,키스어브선더,22,2,4,10,0,0,138650000,51, 0
가로수길,한,수,2016/04/06,4,국5,99,휴양마,홍종철,채플로열,협동,2,1,0,2,1,0,15280000,29, 0
가속불패,한,거,2012/03/23,8,국1,18,박대흥,(주)자성실업,사이코배블,허니비,31,9,4,4,0,0,702350000,99, 0
가야영봉,호,수,2016/09/16,4,외4,17,김점오,이선호,OLYMPIC GLORY,WEAVEWORLD,3,0,0,3,0,0,0,37, 0
가온매직,미,수,2017/05/03,3,외4,22,안병기,김기종,NOBLE MISSION,ULLIGATAWNY,1,0,0,1,0,0,0,38, 0
가온찬,한,암,2017/03/22,3,국6,99,휴양마,최종환,밥앤드존,그릴리메이,3,0,0,3,0,0,0,,0
가온챔프,한,수,2015/04/21,5,국1,22,안병기,김기종,엑톤파크,루비퀸,14,9,1,5,2,0,1078250000,121, 0
가온포스,한,거,2016/04/14,4,국3,22,안병기,김기종,컬러즈플라잉,루비퀸,15,4,2,9,2,0,189250000,58, 0
가자플랜,한,암,2017/05/07,3,국6,06,홍대유,김재영a,플랜,세인트에티엔,2,0,0,2,0,0,0,,0
가즈아,한,수,2016/02/27,4,국5,44,김학수,장석린외1인(신치구),애니기븐새터데이,에이스드리머,16,1,0,8,0,0,51400000,27, 0
갑오사랑해,한,암,2017/01/21,3,국6,53,김동철,김평갑,엑톤파크,리저브드포투,2,0,0,2,0,0,5600000,,0
갑오풀퀸,한,암,2016/03/20,4,국5,42,이관호,김평갑,피스룰즈,풀퀸,8,1,1,8,1,1,45600000,31, 0
갓오브삭스,한,수,2016/02/27,4,국5,31,강환민,김창식,탐라에이스,와치미로,19,1,2,11,0,1,49680000,3, 0
강남맨,미,수,2017/03/01,3,외4,99,휴양마,박평양,RACE DAY,BY THE LEE,1,0,0,1,0,0,0,38, 0
강서으뜸,한,수,2015/02/16,5,국3,42,이관호,(주)디알엠씨티,한센,그레이트브리지,19,4,3,6,1,1,139120000,56, 0
강성대국,한,수,2013/02/19,7,국1,17,김점오,박양호,인그란디어,포토스톤,38,7,4,6,0,0,415300000,83, 0
강철다리,한,암,2017/02/18,3,국6,43,서정하,공이공팔,디바인파크,레드벅,4,0,0,4,0,0,0,,0
강토마,한,거,2015/04/20,5,국1,10,정호익,김광명,테스타마타,무한신조,18,8,5,6,1,3,454000000,103, 0
강한여전사,한,암,2017/02/18,3,국6,41,신삼영,조창규,애니기븐새터데이,강한여자,4,0,1,4,0,1,7440000,,0
강호제일,한,수,2017/04/07,3,국5,99,휴양마,홍상기,채플로열,살라미,7,1,0,7,1,0,13750000,29, 0
강화처녀,한,암,2017/03/06,3,국6,33,서인석,서운석,마리대물,퍼펙트스킵,3,0,0,3,0,0,0,,0
