Date,Open,High,Low,Close,Volume
2010-01-04,15150,15900,15100,15600,1120178
2010-01-05,15750,15950,15650,15800,706475
2010-01-06,15950,16600,15750,16150,1700137
2010-01-07,16300,16300,15650,15800,755013
2010-01-08,15950,16150,15500,16000,480832
2010-01-11,16000,16400,15800,15950,610492
2010-01-12,16000,16050,15650,15750,323488
2010-01-13,15650,15900,15400,15400,364145
2010-01-14,15500,15650,15350,15550,276705
2010-01-15,15850,17600,15850,17150,4786827
2010-01-18,17250,18450,16850,16950,4093817
2010-01-19,17450,17750,16900,17200,1666879
2010-01-20,17350,17700,16900,17000,1328361
2010-01-21,16950,17400,16450,17300,1223075
2010-01-22,17150,17200,16650,17000,755030
2010-01-25,16550,17050,16350,16600,2850760
2010-01-26,16500,16800,15750,16050,734454
2010-01-27,16300,16550,16100,16250,917208
2010-01-28,16450,16550,15850,16400,532175
2010-01-29,16100,16100,15600,15950,559393
2010-02-01,15850,16050,15350,15650,458342
2010-02-02,15800,16700,15700,16700,1452971
2010-02-03,17000,17550,16700,17500,1949880
2010-02-04,17600,17850,17150,17750,1407598
2010-02-05,17050,17400,16950,17200,1222274
2010-02-08,17600,18000,16800,17000,1157390
2010-02-09,16850,17350,16550,17300,602858
2010-02-10,17350,17500,16950,17250,409375
2010-02-11,17100,17350,17000,17350,337783
2010-02-12,17450,17700,17150,17500,650462
2010-02-16,17500,17700,17350,17450,432049
2010-02-17,17650,18100,17550,18000,1457705
2010-02-18,18100,18150,17700,17700,707163
2010-02-19,17700,18000,17500,17800,932039
2010-02-22,18000,18050,17750,17850,779569
2010-02-23,17700,17850,17450,17700,579483
2010-02-24,17600,18000,17550,17750,433167
2010-02-25,17850,17950,17400,17600,447375
2010-02-26,17600,17900,17400,17900,333581
2010-03-02,18100,18150,17950,18050,839297
2010-03-03,18100,18100,17850,18000,539874
2010-03-04,18050,18400,17900,18350,1607663
2010-03-05,18400,19200,18350,18800,2789103
2010-03-08,19250,19400,18800,18900,1675604
2010-03-09,18900,19200,18150,18850,3572915
2010-03-10,19500,20950,19100,19150,9584677
2010-03-11,19300,19450,18900,19000,1514662
2010-03-12,19200,19200,18750,18800,840664
2010-03-15,18650,18900,18350,18900,1194484
2010-03-16,18950,19300,18700,19150,1118284
2010-03-17,19300,19300,19050,19200,645460
2010-03-18,19200,19200,18750,18950,847061
2010-03-19,18950,19050,18750,18900,553665
2010-03-22,19050,19450,18900,19450,1661213
2010-03-23,19950,20050,19400,19600,1798859
2010-03-24,19900,19950,19300,19300,929169
2010-03-25,19300,19500,19000,19150,570713
2010-03-26,19200,19650,19000,19600,1016272
2010-03-29,19600,20250,19500,20000,2708048
2010-03-30,20250,20300,19850,20000,1102336
2010-03-31,20100,20150,19650,19850,765863
2010-04-01,19900,20000,19700,19900,691410
2010-04-02,20000,20000,19250,19500,1258210
2010-04-05,19500,19550,18350,18750,1819878
2010-04-06,18700,18950,18600,18750,577018
2010-04-07,18900,19250,18850,18900,549122
2010-04-08,19150,19300,18950,19200,495973
2010-04-09,19250,19250,18750,18850,583023
2010-04-12,18750,18900,18550,18650,424361
2010-04-13,18700,19100,18650,19050,552875
2010-04-14,19150,19600,19100,19400,710303
2010-04-15,19450,19500,19000,19150,476356
2010-04-16,19000,19250,18950,19200,370477
2010-04-19,18950,19000,18650,18850,427117
2010-04-20,18950,19000,18600,18900,528010
2010-04-21,18900,19100,18700,18900,671629
2010-04-22,19000,19950,18900,19950,2899697
2010-04-23,20000,20250,19600,19950,2912454
2010-04-26,20000,20250,19700,20000,1416242
2010-04-27,19900,22450,19900,21500,9128835
2010-04-28,21400,22250,21050,21900,4549697
2010-04-29,22000,22800,21750,21950,3836342
2010-04-30,22250,22550,21450,21650,2102577
2010-05-03,21600,21800,20850,21200,1215259
2010-05-04,21450,22000,21200,21650,1543947
2010-05-06,21200,21850,21050,21600,1177192
2010-05-07,21350,22800,21000,22550,3496929
2010-05-10,22500,22600,22100,22350,1828774
2010-05-11,22500,23150,19450,21550,4425806
2010-05-12,20400,21000,20200,20600,26083474
2010-05-13,21100,22150,20850,22000,4527134
2010-05-14,22000,22150,21450,22150,2156694
2010-05-17,21800,22300,21100,21500,2068565
2010-05-18,21700,22000,20550,21800,2676697
2010-05-19,21750,22150,21400,22050,2169855
2010-05-20,22150,22300,20050,20500,2907734
2010-05-24,19900,20600,19450,20600,2073491
2010-05-25,20150,20300,19050,19200,2227222
2010-05-26,19350,19650,18750,19600,1558095
2010-05-27,19300,20000,19050,20000,1191037
2010-05-28,20450,21200,20350,20900,2587659
2010-05-31,21000,21300,20600,21300,933755
2010-06-01,21050,21350,20650,20900,849567
2010-06-03,21100,21100,20400,20600,1250396
2010-06-04,20500,20800,20150,20300,1229912
2010-06-07,19650,19850,19300,19500,1370774
2010-06-08,19500,20150,19350,19950,1229092
2010-06-09,20000,20350,19650,20250,808346
2010-06-10,20550,20600,20300,20500,748988
2010-06-11,20900,21200,20550,20800,1125381
2010-06-14,20950,21250,20650,21050,1210182
2010-06-15,21100,21350,20850,21100,975977
2010-06-16,21200,21300,20800,21000,1359812
2010-06-17,21100,21750,21100,21200,2288429
2010-06-18,21350,21550,20800,21050,762450
2010-06-21,21600,21950,21250,21850,2168301
2010-06-22,22200,22450,21450,21850,3402638
2010-06-23,21550,21800,21150,21800,1240681
2010-06-24,21950,22050,21600,21850,2348717
2010-06-25,21600,21900,21450,21700,752824
2010-06-28,21750,21800,21050,21050,676905
2010-06-29,21150,21350,20350,20350,996448
2010-06-30,20000,20750,19900,20700,1107827
2010-07-01,20550,20800,20100,20650,559319
2010-07-02,20750,21100,20400,20650,730326
2010-07-05,20650,20900,20350,20750,697472
2010-07-06,20700,20800,20350,20700,640025
2010-07-07,20600,20650,20100,20400,990946
2010-07-08,20550,20600,20300,20550,749338
2010-07-09,20650,20900,20300,20750,1316440
2010-07-12,20700,20900,20400,20400,685862
2010-07-13,20550,21100,20450,20850,1245274
2010-07-14,21000,21100,20350,20550,1499082
2010-07-15,20600,20850,20400,20500,938413
2010-07-16,20500,20700,20250,20700,866990
2010-07-19,20300,20600,20000,20000,1117227
2010-07-20,20100,20200,19750,19850,884510
2010-07-21,19950,20100,19750,19900,714802
2010-07-22,19850,19900,18600,18800,2275603
2010-07-23,19100,19150,18500,18750,1168678
2010-07-26,18850,19450,18800,19450,978280
2010-07-27,19550,19600,19150,19200,656722
2010-07-28,19800,19900,19350,19350,1467988
2010-07-29,19450,19550,19050,19450,680929
2010-07-30,19350,19450,18950,19250,692658
2010-08-02,19200,19500,19000,19200,567482
2010-08-03,19200,19300,18900,19300,643602
2010-08-04,19400,19700,19150,19500,880618
2010-08-05,19400,20250,19400,20250,1229893
2010-08-06,20300,20650,20050,20600,1508441
2010-08-09,20800,20900,20350,20600,1398455
2010-08-10,20650,20750,20150,20200,698164
2010-08-11,20050,20900,20000,20500,1174966
2010-08-12,20100,20400,19800,19850,686482
2010-08-13,20000,20400,19850,20250,788649
2010-08-16,20100,20250,19550,19650,778891
2010-08-17,19600,20150,19550,20000,1020563
2010-08-18,20050,20350,19850,19950,573506
2010-08-19,20050,20400,20000,20100,495855
2010-08-20,20000,20300,19950,20000,399205
2010-08-23,20250,20400,19250,19250,942934
2010-08-24,19400,19600,19200,19400,707779
2010-08-25,19350,20150,19100,19800,1005594
2010-08-26,19800,20750,19800,20400,2040390
2010-08-27,20500,20600,20100,20500,685085
2010-08-30,20850,20900,20250,20250,847879
2010-08-31,20200,20650,19950,20650,740685
2010-09-01,20750,21300,20550,20850,1592999
2010-09-02,21050,21400,20700,21250,1125189
2010-09-03,21400,21800,21350,21700,1757276
2010-09-06,21950,22050,21750,21950,1170088
2010-09-07,22000,22000,21200,21350,1165976
2010-09-08,21150,21650,21100,21650,758512
2010-09-09,21800,21900,21350,21700,767603
2010-09-10,21550,21550,21150,21500,788944
2010-09-13,21400,21500,21000,21000,652322
2010-09-14,20950,21400,20900,21400,785035
2010-09-15,21300,21500,20850,21000,730430
2010-09-16,21050,21300,20800,20800,533460
2010-09-17,21000,21050,20550,20800,837020
2010-09-20,21000,21050,20550,20600,693464
2010-09-24,20700,20900,20550,20800,607888
2010-09-27,21000,22100,20800,22000,2713721
2010-09-28,21950,22150,21600,22100,1266782
2010-09-29,22150,22300,21550,21550,1232517
2010-09-30,21550,22400,21250,22350,1765895
2010-10-01,22300,22650,21900,22100,1247620
2010-10-04,22350,22800,22250,22500,1760432
2010-10-05,22550,22850,22350,22550,1147954
2010-10-06,22750,23200,22600,22900,1732650
2010-10-07,23050,23250,22800,23050,1067874
2010-10-08,23100,23650,23000,23300,1616942
2010-10-11,23500,23550,22600,22600,1048164
2010-10-12,22800,22850,22100,22700,1241699
2010-10-13,22750,23150,22600,22750,813021
2010-10-14,22700,22900,22300,22450,756703
2010-10-15,22550,22900,22350,22450,526464
2010-10-18,22650,23100,22600,22800,753559
2010-10-19,22950,23100,22400,22400,525552
2010-10-20,22300,22800,22200,22550,517725
2010-10-21,22700,22950,22350,22350,495478
2010-10-22,22350,23000,22350,23000,745614
2010-10-25,23050,23300,22850,22950,684358
2010-10-26,22950,23300,22750,23000,739885
2010-10-27,23100,23600,22950,23600,1244930
2010-10-28,23750,25350,23750,24800,4323119
2010-10-29,25050,25250,24600,24900,1613826
2010-11-01,25250,25650,25000,25300,1481925
2010-11-02,26000,26200,25350,25550,1582484
2010-11-03,26000,27200,25800,26550,2493905
2010-11-04,27000,29900,26950,28950,6725775
2010-11-05,29000,29200,28050,28850,3484674
2010-11-08,28900,29600,28500,28800,1840627
2010-11-09,28800,29100,28350,28750,1344359
2010-11-10,28650,30300,28650,29600,2136238
2010-11-11,29650,29750,28650,28750,1716984
2010-11-12,28900,29700,28650,29050,2105650
2010-11-15,29000,30200,29000,29850,1357260
2010-11-16,30350,31550,29850,31400,2364208
2010-11-17,31100,31850,30750,31400,1888807
2010-11-18,30950,31650,30800,31400,1411033
2010-11-19,31550,33000,31450,32600,1749454
2010-11-22,32700,32950,30350,30400,2230335
2010-11-23,30750,30850,29150,29950,3448868
2010-11-24,29500,31400,29350,30400,3104812
2010-11-25,30550,30750,30100,30400,1025721
2010-11-26,30550,30750,30100,30400,1041409
2010-11-29,30600,32200,30550,32000,1968530
2010-11-30,32600,32950,32050,32350,1601668
2010-12-01,32550,32900,31600,32800,1067418
2010-12-02,33400,34250,33100,33700,1691384
2010-12-03,34000,34750,33350,33600,1667377
2010-12-06,34200,34250,33300,33600,819654
