Date,Open,High,Low,Close,Volume
2010-01-04,190000,193500,189000,193000,239168
2010-01-05,191500,196000,190000,193000,225816
2010-01-06,193000,197000,192000,192000,314863
2010-01-07,192500,196000,191000,192500,179990
2010-01-08,192500,195000,186000,186000,217263
2010-01-11,185000,188500,181000,183500,368378
2010-01-12,186000,192000,185000,192000,345142
2010-01-13,189500,192000,184000,187000,211340
2010-01-14,185500,188000,182500,182500,316643
2010-01-15,182500,184000,179000,181000,303942
2010-01-18,181000,187500,181000,186500,233263
2010-01-19,188500,192000,183500,185500,241041
2010-01-20,187000,187500,181000,186000,216551
2010-01-21,184000,190000,183500,189000,231874
2010-01-22,186500,187500,182000,184500,260775
2010-01-25,182000,188000,181500,188000,190580
2010-01-26,187500,188500,184000,187000,247881
2010-01-27,186500,188000,183500,185000,175087
2010-01-28,184500,189500,181000,182000,242138
2010-01-29,181500,182500,170000,173000,365337
2010-02-01,172500,172500,165500,168500,314485
2010-02-02,170000,172500,167000,168500,251886
2010-02-03,168500,170500,163500,166500,587920
2010-02-04,168500,174000,168000,172000,603551
2010-02-05,166000,170000,165500,167000,221041
2010-02-08,167500,173000,167000,169500,193049
2010-02-09,167000,169500,162000,164000,395017
2010-02-10,166500,166500,161000,161000,263845
2010-02-11,162500,167000,162000,167000,295814
2010-02-12,172000,175500,170000,173500,474912
2010-02-16,174500,179000,173000,176500,230516
2010-02-17,178500,179500,173500,177000,252869
2010-02-18,176000,177000,172500,172500,192027
2010-02-19,171500,174000,169500,172000,171905
2010-02-22,174500,178000,174000,176000,200451
2010-02-23,176000,178500,176000,176000,80911
2010-02-24,173000,179000,173000,178000,94955
2010-02-25,178000,180500,176500,180500,194290
2010-02-26,180000,183500,177500,181000,150853
2010-03-02,185500,189000,183000,188500,265679
2010-03-03,189000,190000,182500,183000,226798
2010-03-04,184500,188000,183500,185000,107898
2010-03-05,185000,189000,184500,185000,171699
2010-03-08,189500,191500,187500,191500,310224
2010-03-09,192000,192000,188000,192000,140615
2010-03-10,192000,193000,186500,187000,172224
2010-03-11,188500,190000,186500,189000,175976
2010-03-12,189500,190000,183000,189000,175362
2010-03-15,189500,190000,183500,184000,104138
2010-03-16,183500,188000,182500,188000,142101
2010-03-17,189500,190000,188000,189500,103795
2010-03-18,187000,189500,183000,183000,227563
2010-03-19,184000,186500,183500,186000,85627
2010-03-22,187500,188000,183500,184000,273246
2010-03-23,186000,190000,185500,190000,291888
2010-03-24,189000,192000,188000,188500,87981
2010-03-25,190000,191000,187000,190000,160707
2010-03-26,192000,192000,187500,189000,155870
2010-03-29,188500,190000,187000,188500,69427
2010-03-30,188500,189500,179000,181000,621726
2010-03-31,181500,182000,179000,180000,301280
2010-04-01,181000,188500,180000,187500,341947
2010-04-02,186500,187500,183500,185000,127403
2010-04-05,185000,190500,185000,189000,199261
2010-04-06,191000,193000,188500,191000,196814
2010-04-07,191000,197000,190500,191000,334560
2010-04-08,191500,194500,191000,194000,167137
2010-04-09,192000,193000,187500,190000,249182
2010-04-12,188500,191500,188000,190000,120366
2010-04-13,195000,195500,192000,195500,292421
2010-04-14,196000,198500,194000,195500,202142
2010-04-15,194500,195500,191000,195000,175868
2010-04-16,193000,193500,185500,188000,461381
2010-04-19,188000,188000,182500,183500,154595
2010-04-20,184500,184500,181000,181500,362210
2010-04-21,183500,189000,183000,186500,493549
2010-04-22,187000,187000,183000,185000,160511
2010-04-23,187000,187000,183500,185000,112777
2010-04-26,185500,189500,185500,189000,144348
2010-04-27,188500,191500,187000,191000,171538
2010-04-28,187000,192500,186000,191000,307497
2010-04-29,191000,191000,186000,190000,212659
2010-04-30,190500,190500,185500,185500,177011
